,Unnamed: 0,date,province,latitude,longitude,confirmed,S,S_f,E,I,Q,R
0,0,2020-03-01,Seoul,37.566953000000005,126.977977,87.0,9661833.0,0.0,70.0,10.0,76.0,11.0
0,0,2020-03-01,Gyeonggi-do,37.275119000000004,127.00946599999999,89.0,13237855.0,0.0,49.0,7.0,81.0,8.0
0,0,2020-03-01,Gangwon-do,37.885369,127.729868,15.0,1516921.0,0.0,56.0,8.0,15.0,0.0
0,0,2020-03-01,Gwangju,35.160467,126.85139199999999,9.0,1493991.0,0.0,0.0,0.0,7.0,2.0
0,0,2020-03-01,Jeollanam-do,34.816095000000004,126.463021,3.0,1772997.0,0.0,0.0,0.0,3.0,0.0
0,0,2020-03-01,Jeju-do,33.488935999999995,126.500423,2.0,659998.0,0.0,0.0,0.0,2.0,0.0
0,0,2020-03-01,Busan,35.179884,129.074796,83.0,3372893.0,0.0,21.0,3.0,83.0,0.0
0,0,2020-03-01,Incheon,37.456188,126.70591999999999,6.0,2943994.0,0.0,0.0,0.0,5.0,1.0
0,0,2020-03-01,Gyeongsangbuk-do,36.576032,128.505599,556.0,2663900.0,0.0,476.0,68.0,555.0,1.0
0,0,2020-03-01,Chungcheongbuk-do,36.63568,127.49138400000001,11.0,1625981.0,0.0,7.0,1.0,11.0,0.0
0,0,2020-03-01,Ulsan,35.539797,129.31153799999998,20.0,1146956.0,0.0,21.0,3.0,20.0,0.0
0,0,2020-03-01,Chungcheongnam-do,36.658976,126.673318,68.0,2187828.0,0.0,91.0,13.0,68.0,0.0
0,0,2020-03-01,Sejong,36.480132,127.28902099999999,1.0,330999.0,0.0,0.0,0.0,1.0,0.0
0,0,2020-03-01,Jeollabuk-do,35.820308000000004,127.108791,6.0,1802986.0,0.0,7.0,1.0,5.0,1.0
0,0,2020-03-01,Gyeongsangnam-do,35.238294,128.692397,63.0,3349905.0,0.0,28.0,4.0,62.0,1.0
0,0,2020-03-01,Daegu,35.87215,128.601783,2704.0,2425552.0,0.0,3276.0,468.0,2698.0,6.0
0,0,2020-03-01,Daejeon,36.350621000000004,127.384744,13.0,1508987.0,0.0,0.0,0.0,13.0,0.0
1,1,2020-03-02,Sejong,36.480132,127.28902099999999,1.0,330971.28943189146,27.571668528096108,0.13889958036253774,0.0,0.9285714285714286,0.07142857142857142
1,1,2020-03-02,Jeollabuk-do,35.820308000000004,127.108791,6.25,1802236.4319690187,749.4291320598082,5.388898921464226,2.5,4.892857142857143,1.3571428571428572
1,1,2020-03-02,Busan,35.179884,129.074796,83.75,3350503.8152907467,22389.04581365933,15.88889559374444,7.5,77.82142857142857,5.928571428571428
1,1,2020-03-02,Gyeongsangnam-do,35.238294,128.692397,64.0,3333121.3003494767,16783.560754462276,21.138896061044775,10.0,58.57142857142857,5.428571428571428
1,1,2020-03-02,Incheon,37.456188,126.70591999999999,6.0,2942770.1606011065,1223.700499177078,0.13889971691576086,0.0,4.642857142857143,1.3571428571428572
1,1,2020-03-02,Gangwon-do,37.885369,127.729868,17.0,1515038.7095917084,1882.1515155249865,42.13889276657878,20.0,15.928571428571427,1.0714285714285714
1,1,2020-03-02,Jeollanam-do,34.816095000000004,126.463021,3.0,1772554.2406529312,442.6204473037551,0.13889976497461928,0.0,2.7857142857142856,0.21428571428571427
1,1,2020-03-02,Gyeongsangbuk-do,36.576032,128.505599,573.0,2569339.888348075,94559.9728092572,357.1388426679174,170.0,532.3571428571429,40.64285714285714
1,1,2020-03-02,Gwangju,35.160467,126.85139199999999,9.0,1493122.3400015626,868.5210992742807,0.13889916325301205,0.0,6.5,2.5
1,1,2020-03-02,Gyeonggi-do,37.275119000000004,127.00946599999999,90.75,13152015.60861552,85839.25248599978,36.88889847858439,17.5,76.96428571428571,13.785714285714285
1,1,2020-03-02,Daegu,35.87215,128.601783,2821.0,2237018.84778427,188533.0136839977,2457.138531732237,1170.0,2622.285714285714,198.7142857142857
1,1,2020-03-02,Chungcheongbuk-do,36.63568,127.49138400000001,11.25,1624498.4276117184,1482.433489904642,5.388898376937269,2.5,10.464285714285714,0.7857142857142857
1,1,2020-03-02,Daejeon,36.350621000000004,127.384744,13.0,1507362.5751397025,1624.2859614940965,0.13889880337972166,0.0,12.071428571428573,0.9285714285714284
1,1,2020-03-02,Ulsan,35.539797,129.31153799999998,20.75,1145063.1054920938,1892.7556132344935,15.888894671665213,7.5,19.321428571428573,1.4285714285714284
1,1,2020-03-02,Chungcheongnam-do,36.658976,126.673318,71.25,2175841.3375478657,11986.523563053435,68.38888908098721,32.5,66.39285714285714,4.857142857142857
1,1,2020-03-02,Seoul,37.566953000000005,126.977977,89.5,9602904.014627652,58928.846474748876,52.638897599223775,25.0,73.07142857142857,16.428571428571427
1,1,2020-03-02,Jeju-do,33.488935999999995,126.500423,2.0,659887.9625689454,109.89853147568226,0.1388995790909091,0.0,1.8571428571428568,0.14285714285714285
2,2,2020-03-03,Daejeon,36.350621000000004,127.384744,13.0,1505855.0962903928,3131.626058534758,0.2429263715561999,0.034724700844930415,11.209183673469386,1.7908163265306118
2,2,2020-03-03,Gangwon-do,37.885369,127.729868,22.0,1513043.3094813554,3877.4129020116015,31.742893441367308,25.53472319164469,19.790816326530614,2.209183673469388
2,2,2020-03-03,Gyeongsangnam-do,35.238294,128.692397,66.5,3317318.367927675,32586.354962182835,15.99238612738069,12.784724015261194,56.88775510204081,9.612244897959183
2,2,2020-03-03,Incheon,37.456188,126.70591999999999,6.0,2941633.998123473,2359.7241336796333,0.24301791769615502,0.034724929228940216,4.311224489795919,1.6887755102040818
