,date,province,latitude,longitude,confirmed,S,S_f,E,I,Q,R
0,2020-03-01,Ulsan,35.539797,129.311538,20.0,1146956.0,0.0,21.0,3.0,20.0,0.0
1,2020-03-02,Ulsan,35.539797,129.311538,20.75,1145063.1054920938,1892.7556132344937,15.888894671665213,7.5,19.321428571428573,1.4285714285714284
2,2020-03-03,Ulsan,35.539797,129.311538,22.625000000000004,1143236.830011156,3718.8924241432424,12.055341032892716,9.597223667916303,19.816326530612248,2.808673469387755
3,2020-03-04,Ulsan,35.539797,129.311538,25.024305916979078,1141367.2284627745,5588.355519231929,9.1799590674086,10.211753009160407,20.80018055254759,4.224125364431487
4,2020-03-05,Ulsan,35.539797,129.311538,27.57724416926918,1139408.9800580298,7546.465692562049,7.02320071510319,9.953804523722455,21.867391622512866,5.709852546756315
5,2020-03-06,Ulsan,35.539797,129.311538,30.065695300199796,1137354.8899071533,9600.417844422394,5.405399552379489,9.221153571567639,22.793886208978275,7.271809091221519
6,2020-03-07,Ulsan,35.539797,129.311538,32.3709836930917,1135218.6223520418,11736.547644290598,4.191804907675092,8.267215066770602,23.47103987265745,8.899943820434252
7,2020-03-08,Ulsan,35.539797,129.311538,34.43778745978435,1133023.7673554874,13931.265139126748,3.281355398955146,7.248362526996724,23.86134079130314,10.576446668481212
8,2020-03-09,Ulsan,35.539797,129.311538,36.24987809153353,1130797.163272289,16157.731981085075,2.5982577892688736,6.256610744986329,23.969049937959237,12.280828153574294
9,2020-03-10,Ulsan,35.539797,129.311538,37.81403077778012,1128565.0241783622,18389.73409801781,2.0856703359864976,5.342022506056965,23.821127628637303,13.992903149142812
10,2020-03-11,Ulsan,35.539797,129.311538,39.14953640429436,1126350.8754878924,20603.746076396565,1.7009648431317204,4.527934463539348,23.45512413882031,15.694412265474048
11,2020-03-12,Ulsan,35.539797,129.311538,40.281520020179194,1124174.6249404002,22779.86017456554,1.4121729556372546,3.8211920584374415,22.91174174478941,17.369778275389784
12,2020-03-13,Ulsan,35.539797,129.311538,41.236818034788556,1122052.321313851,24902.02761006177,1.1953207697844244,3.2189372827373948,22.230486777628098,19.006331257160458
13,2020-03-14,Ulsan,35.539797,129.311538,42.0415523554729,1119996.3079470298,26957.90503769799,1.0324297623977732,2.7130331544991524,21.447329185624724,20.594223169848178
14,2020-03-15,Ulsan,35.539797,129.311538,42.71981064409769,1118015.5831463127,28938.494143230808,0.9100175059605244,2.2928823064738078,20.59363538956203,22.126175254535656
15,2020-03-16,Ulsan,35.539797,129.311538,43.29303122071614,1116116.2499696875,30837.691859737803,0.8179732477230113,1.9471661063454868,19.695882009783194,23.597149210932944
16,2020-03-17,Ulsan,35.539797,129.311538,43.779822747302504,1114301.9845199687,32651.822074744876,0.7487146474128129,1.6648678916898678,18.77582482138505,25.003997925917457
17,2020-03-18,Ulsan,35.539797,129.311538,44.196039720224974,1112574.4823133626,34379.189261950545,0.6965553860927808,1.435829580620604,17.850911449922872,26.3451282703021
18,2020-03-19,Ulsan,35.539797,129.311538,44.554997115380125,1110933.861777624,36019.67498330296,0.6572309257780387,1.2510110319886483,16.934803741512106,27.62019337386802
19,2020-03-20,Ulsan,35.539797,129.311538,44.867749873377285,1109379.0160988288,37574.3860424157,0.6275428770345016,1.1025660054359958,16.03792766082983,28.829822212547455
20,2020-03-21,Ulsan,35.539797,129.311538,45.14339137473628,1107907.9119561333,39045.35574995249,0.6050923164337255,0.9838102233356223,15.168002900700984,29.9753884740353
21,2020-03-22,Ulsan,35.539797,129.311538,45.38934393057019,1106517.837844823,40435.29560068998,0.588079810096855,0.8891307466101481,14.33052667791339,31.058817252656798
22,2020-03-23,Ulsan,35.539797,129.311538,45.611626617222726,1105205.6068264218,41747.39252348795,0.5751554608227063,0.8138680124818248,13.529200316143543,32.08242630107918
23,2020-03-24,Ulsan,35.539797,129.311538,45.81509362034318,1103967.719421272,42985.145988765835,0.5653064674955129,0.7541898745670452,12.76629586811089,33.04879775223229
24,2020-03-25,Ulsan,35.539797,129.311538,46.00364108898494,1102800.4924770782,44152.23913999613,0.5577728139722637,0.7069690227991622,12.042965060459016,33.960676028525924
25,2020-03-26,Ulsan,35.539797,129.311538,46.18038334468473,1101700.159534863,45252.438427770794,0.5519840510418805,0.6696699705924376,11.35949552612602,34.82088781855871
26,2020-03-27,Ulsan,35.539797,129.311538,46.34780083733284,1100662.9476819132,46289.51675686408,0.5475118948056866,0.6402484907047983,10.7155204811937,35.63228035613914
27,2020-03-28,Ulsan,35.539797,129.311538,46.50786296000904,1099685.1352608406,47267.19577717317,0.5440346845834003,0.6170643417300203,10.110188283784636,36.397674676224405
28,2020-03-29,Ulsan,35.539797,129.311538,46.662129045441546,1098763.0941736796,48189.10357961443,0.5413107331913425,0.5988069274433654,9.542298063232524,37.119830982209024
29,2020-03-30,Ulsan,35.539797,129.311538,46.81183077730239,1097893.3199246519,49058.74465334726,0.5391583446715961,0.5844328788803597,9.010407076291042,37.801423701011345
30,2020-03-31,Ulsan,35.539797,129.311538,46.95793899702248,1097072.4520075573,49879.479498369124,0.5374408311542473,0.5731142453281688,8.512914790561771,38.44502420646071
