,date,province,latitude,longitude,confirmed,S,S_f,E,I,Q,R
0,2020-03-01,Gyeonggi-do,37.275119,127.009466,89.0,13237855.0,0.0,49.0,7.0,81.0,8.0
1,2020-03-02,Gyeonggi-do,37.275119,127.009466,90.75,13152015.608615521,85839.25248599978,36.88889847858438,17.5,76.96428571428571,13.785714285714285
2,2020-03-03,Gyeonggi-do,37.275119,127.009466,95.125,13070820.401352568,167034.3217331324,27.804689679264627,22.347224619646095,75.84183673469387,19.283163265306122
3,2020-03-04,Gyeonggi-do,37.275119,127.009466,100.71180615491153,12991259.229852082,246595.356052701,20.9906981761348,23.711590884550727,76.01136883712726,24.700437317784257
4,2020-03-05,Gyeonggi-do,37.275119,127.009466,106.6397038760492,12912012.211145442,325842.23839652527,15.879386447399902,23.031367707446744,76.5098830698987,30.12982080615049
5,2020-03-06,Gyeonggi-do,37.275119,127.009466,112.39754580291088,12832751.545195252,405102.76879877085,12.04508777979123,21.243372392435035,76.80273334891048,35.5948124540004
6,2020-03-07,Gyeonggi-do,37.275119,127.009466,117.70838890101965,12753687.33605828,484166.8432028099,9.168548767697278,18.943801239274084,76.62766692209706,41.080721978922575
7,2020-03-08,Gyeonggi-do,37.275119,127.009466,122.44433921083817,12675282.587193301,562571.4581478478,7.010331517340333,16.499988121379882,75.89021245176579,46.55412675907237
8,2020-03-09,Gyeonggi-do,37.275119,127.009466,126.56933624118312,12598081.658180838,639772.2540465789,5.390862369299394,14.127573970369994,74.59448002127034,51.97485621991278
9,2020-03-10,Gyeonggi-do,37.275119,127.009466,130.10122973377563,12522612.750075327,715241.0298321911,4.175466676479234,11.943396070102345,72.79819636948639,57.303033364289234
10,2020-03-11,Gyeonggi-do,37.275119,127.009466,133.08707875130122,12449337.415125966,788516.2332376742,3.263143884876145,10.001413721696567,70.58417421776295,62.50290453353826
11,2020-03-12,Gyeonggi-do,37.275119,127.009466,135.58743218172538,12378629.03849642,859224.479076809,2.578148324977318,8.316846262491461,68.04280091834688,67.54463126337848
12,2020-03-13,Gyeonggi-do,37.275119,127.009466,137.66664374734822,12310768.464632668,927084.9228772216,2.0636745840449713,6.882171778112926,65.26181241837354,72.40483132897468
13,2020-03-14,Gyeonggi-do,37.275119,127.009466,139.38718669187645,12245949.169896519,991904.0882478188,1.6771214903568308,5.677547479595937,62.32079733301794,77.0663893588585
14,2020-03-15,Gyeonggi-do,37.275119,127.009466,140.80657356177542,12184287.207177743,1053565.922267558,1.3865401545749791,4.677440982286161,59.28869867912993,81.5178748826455
15,2020-03-16,Gyeonggi-do,37.275119,127.009466,141.97593380734696,12125833.007160809,1112019.9942195062,1.1679701030296668,3.854715775358365,56.22315187619219,85.75278193115479
16,2020-03-17,Gyeonggi-do,37.275119,127.009466,142.93961275118656,12070583.327421892,1167269.546494501,1.0034414990307166,3.1830293572761903,53.170891400303766,89.7687213508828
17,2020-03-18,Gyeonggi-do,37.275119,127.009466,143.73537009050563,12018492.411104046,1219360.3359165392,0.8794769317197109,2.638132392714822,50.1687279253154,93.56664216519022
18,2020-03-19,Gyeonggi-do,37.275119,127.009466,144.39490318868434,11969481.89911431,1268370.7215461007,0.7859678724501191,2.1984685274660443,47.244780457400154,97.15012273128417
19,2020-03-20,Gyeonggi-do,37.275119,127.009466,144.94452032055085,11923449.333096724,1314403.1617074725,0.7153321189962563,1.8453433637120629,44.419770413738085,100.52474990681276
20,2020-03-21,Gyeonggi-do,37.275119,127.009466,145.40585616147885,11880275.257437447,1357577.111983873,0.6618819661432761,1.5628405525331113,41.708265510827665,103.6975906506512
21,2020-03-22,Gyeonggi-do,37.275119,127.009466,145.79656629961215,11839829.021519614,1398023.2229627739,0.6213504066572495,1.3376009059356524,39.11981382675897,106.67675247285317
