,date,province,latitude,longitude,confirmed,S,S_f,E,I,Q,R
0,2020-03-01,Chungcheongbuk-do,36.63568,127.491384,11.0,1625981.0,0.0,7.0,1.0,11.0,0.0
1,2020-03-02,Chungcheongbuk-do,36.63568,127.491384,11.25,1624498.4276117184,1482.4334899046419,5.388898376937269,2.5,10.464285714285714,0.7857142857142857
2,2020-03-03,Chungcheongbuk-do,36.63568,127.491384,11.874999999999998,1623088.960869989,2891.761457372254,4.180448044569805,3.2222245942343175,10.341836734693876,1.5331632653061225
3,2020-03-04,Chungcheongbuk-do,36.63568,127.491384,12.680556148558578,1621697.109066394,4283.474604700244,3.273992300326597,3.4617804568181896,10.40869025934575,2.271865889212828
4,2020-03-05,Chungcheongbuk-do,36.63568,127.491384,13.546001262763125,1620297.5086778281,5682.936453519445,2.5940339718266046,3.4148334176952915,10.530657497882745,3.0153437648803814
5,2020-03-06,Chungcheongbuk-do,36.63568,127.491384,14.399709617186948,1618882.8178263928,7097.488882377078,2.0839480564547124,3.2096335562281197,10.632176031029228,3.76753358615772
6,2020-03-07,Chungcheongbuk-do,36.63568,127.491384,15.202118006243978,1617455.8096689214,8524.358735703132,1.7012651876179108,2.928212181284768,10.675143275012742,4.5269747312312365
7,2020-03-08,Chungcheongbuk-do,36.63568,127.491384,15.934171051565169,1616024.3288327046,9955.701387238052,1.4141335725286734,2.6214754328680536,10.644686086404452,5.289484965160718
8,2020-03-09,Chungcheongbuk-do,36.63568,127.491384,16.589539909782182,1614598.1733494003,11381.71880569835,1.1986650233161338,2.3196399677832087,10.539720224164004,6.049819685618179
9,2020-03-10,Chungcheongbuk-do,36.63568,127.491384,17.169449901727987,1613187.2519137214,12792.502295925398,1.0369442193278593,2.03939623166644,10.36679305724095,6.802656844487037
10,2020-03-11,Chungcheongbuk-do,36.63568,127.491384,17.679298959644598,1611800.5705070882,14179.045875223479,0.9155354995894947,1.7887832285817946,10.136156896783206,7.54314206286139
11,2020-03-12,Chungcheongbuk-do,36.63568,127.491384,18.126494766790046,1610445.7458728293,15533.732798234838,0.8243628723138159,1.5704712963337197,9.859341497015569,8.267153269774477
12,2020-03-13,Chungcheongbuk-do,36.63568,127.491384,18.519112590873476,1609128.8431197023,16850.49795353471,0.755869981302674,1.3839441903287437,9.547720642740744,8.971391948132732
13,2020-03-14,Chungcheongbuk-do,36.63568,127.491384,18.865098638455663,1607854.4035354801,18124.800050175592,0.7043900671532919,1.2269256380722262,9.211726644412877,9.653371994042786
14,2020-03-15,Chungcheongbuk-do,36.63568,127.491384,19.17183004797372,1606625.5757095283,19353.490495237227,0.665673440491425,1.0962917453424925,8.860477579330015,10.311352468643706
15,2020-03-16,Chungcheongbuk-do,36.63568,127.491384,19.445902984309342,1605444.2948793392,20534.634047408752,0.6365330978732731,0.9886371691297257,8.501659259999208,10.944243724310136
16,2020-03-17,Chungcheongbuk-do,36.63568,127.491384,19.693062276591775,1604311.476702464,21667.315045158488,0.6145789487260642,0.9006111513156125,8.14155717656741,11.551505100024364
17,2020-03-18,Chungcheongbuk-do,36.63568,127.491384,19.91821506442068,1603227.205700947,22751.448962385446,0.5980185017752786,0.8291031006682255,7.78517016607007,12.133044898350608
18,2020-03-19,Chungcheongbuk-do,36.63568,127.491384,20.125490839587734,1602190.9077310022,23787.609938810976,0.5855073956408556,0.7713319509449887,7.436362357946407,12.689128481641328
19,2020-03-20,Chungcheongbuk-do,36.63568,127.491384,20.318323827323983,1601201.5015965665,24776.879166482155,0.5760373112227981,0.7248758121189555,7.0980266058293395,13.220297221494643
20,2020-03-21,Chungcheongbuk-do,36.63568,127.491384,20.49954278035372,1600257.5284579997,25720.715481113628,0.5688519186828351,0.6876661868949161,6.772243658442697,13.727299121911026
21,2020-03-22,Chungcheongbuk-do,36.63568,127.491384,20.67145932707745,1599357.2597467904,26620.847447413405,0.5633838485142313,0.6579626198418959,6.460428515277663,14.21103081179979
22,2020-03-23,Chungcheongbuk-do,36.63568,127.491384,20.835949982037924,1598498.7854020465,27479.185122614694,0.5592074288783169,0.6343179270099797,6.163459990575446,14.672489991462479
23,2020-03-24,Chungcheongbuk-do,36.63568,127.491384,20.99452946379042,1597680.0847452385,28297.749181748455,0.5560032459936791,0.615540302477064,5.8817923301439805,15.112737133646439
24,2020-03-25,Chungcheongbuk-do,36.63568,127.491384,21.148414539409686,1596899.0824404345,29078.61495741672,0.5535315703613974,0.6006560383562178,5.615549382181534,15.532865157228152
25,2020-03-26,Chungcheongbuk-do,36.63568,127.491384,21.29857854899874,1596153.6919027008,29823.869031397076,0.5516124311187283,0.5888749213575127,5.364602721614765,15.933975827383975
26,2020-03-27,Chungcheongbuk-do,36.63568,127.491384,21.44579727933812,1595441.848317591,30535.57621515472,0.5501106754383416,0.5795592987978166,5.128635543267374,16.317161736070744
27,2020-03-28,Chungcheongbuk-do,36.63568,127.491384,21.59068710403757,1594761.5331831172,31215.75500786937,0.5489247658420029,0.5721971429579479,4.907194257733445,16.683492846304127
28,2020-03-29,Chungcheongbuk-do,36.63568,127.491384,21.733736389777057,1594110.792021071,31866.359885109618,0.547978380240387,0.5663790486789616,4.699729667920543,17.034006721856514
29,2020-03-30,Chungcheongbuk-do,36.63568,127.491384,21.875331151946796,1593487.7466496062,32489.269026246253,0.5472141134456578,0.561778881569318,4.505629453810245,17.369701698136552
30,2020-03-31,Chungcheongbuk-do,36.63568,127.491384,22.015775872339127,1592890.6031756345,33086.27632204858,0.5465887543333118,0.5581376895384029,4.324243498930414,17.691532373408712
31,2020-04-01,Chungcheongbuk-do,36.63568,127.491384,22.155310294723726,1592317.6566592366,33659.08671026772,0.5460697443826519,0.5552504557371302,4.1549033856771285,18.0004069090466
32,2020-04-02,Chungcheongbuk-do,36.63568,127.491384,22.29412290865801,1591767.293224222,34209.31406506859,0.5456325219726279,0.5529552778985106,3.996937186348759,18.29718572230925
33,2020-04-03,Chungcheongbuk-do,36.63568,127.491384,22.432361728132637,1591237.990238171,34738.48101698031,0.545258530780404,0.55112458891704,3.849680492512761,18.582681235619877
34,2020-04-04,Chungcheongbuk-do,36.63568,127.491384,22.570142875361896,1590728.3150594118,35248.0202059115,0.5449337260953566,0.549658074382881,3.712484461705395,18.8576584136565
35,2020-04-05,Chungcheongbuk-do,36.63568,127.491384,22.707557393957618,1590236.922744565,35739.276573598465,0.5446474544496751,0.5484769873109998,3.58472151875073,19.12283587520689
36,2020-04-06,Chungcheongbuk-do,36.63568,127.491384,22.844676640785366,1589762.5530255074,36213.510386633636,0.5443916131493975,0.5475196040956687,3.4657892285248564,19.37888741226051
37,2020-04-07,Chungcheongbuk-do,36.63568,127.491384,22.981556541809283,1589304.0267959752,36671.90074985592,0.5441600196696109,0.546737606359101,3.3551127560827125,19.626443785726572
38,2020-04-08,Chungcheongbuk-do,36.63568,127.491384,23.11824094339906,1588860.242292885,37115.54942502254,0.5439479384067248,0.5460932096867285,3.2521462465237225,19.866094696875336
39,2020-04-09,Chungcheongbuk-do,36.63568,127.491384,23.25476424582074,1588430.1711134664,37545.484813669544,0.5437517254229922,0.5455568918667275,3.1563733884794245,20.098390857341318
40,2020-04-10,Chungcheongbuk-do,36.63568,127.491384,23.391153468787422,1588012.8541744393,37962.66599792909,0.543568561671471,0.5451056002557937,3.0673073694118616,20.32384609937556
41,2020-04-11,Chungcheongbuk-do,36.63568,127.491384,23.52742986885137,1587607.3976920138,38367.98676052344,0.5433962525764642,0.544721340609713,2.9844903859463914,20.54293948290498
42,2020-04-12,Chungcheongbuk-do,36.63568,127.491384,23.663610204003803,1587212.9692400137,38762.279526635604,0.5432330773823122,0.5443900686014008,2.907492836388363,20.75611736761544
43,2020-04-13,Chungcheongbuk-do,36.63568,127.491384,23.799707721154153,1586828.7939267287,39146.319187052875,0.5430776758349893,0.5441008207966287,2.8359122937966874,20.963795427357464
44,2020-04-14,Chungcheongbuk-do,36.63568,127.491384,23.93573292635331,1586454.1507182105,39520.8267748651,0.5429289628732434,0.5438450345562189,2.769372335153224,21.166360591200085
45,2020-04-15,Chungcheongbuk-do,36.63568,127.491384,24.071694184992364,1586088.3689258662,39886.4729778672,0.5427860643391516,0.5436160166354751,2.707521284138477,21.364172900853887
46,2020-04-16,Chungcheongbuk-do,36.63568,127.491384,24.207598189151234,1585730.8248687098,40243.881476303446,0.542648268466993,0.5434085285613942,2.650030910858883,21.55756727829235
47,2020-04-17,Chungcheongbuk-do,36.63568,127.491384,24.34345032129158,1585380.9387150127,40593.63210121254,0.5425149892204815,0.5432184635377939,2.5965951207950257,21.746855200496555
48,2020-04-18,Chungcheongbuk-do,36.63568,127.491384,24.479254937176027,1585038.1715039306,40936.263812798,0.5423857385312851,0.5430425949584659,2.5469286566226867,21.93232628055334
49,2020-04-19,Chungcheongbuk-do,36.63568,127.491384,24.615015585915643,1584702.0223446446,41272.27750128262,0.5422601052285794,0.5428783808516706,2.500765829889254,22.11424975602639
50,2020-04-20,Chungcheongbuk-do,36.63568,127.491384,24.75073518112856,1584372.0257884006,41602.13861486672,0.5421377390017357,0.5427238119458978,2.4578592943957966,22.292875886732766
51,2020-04-21,Chungcheongbuk-do,36.63568,127.491384,24.886416134115038,1584047.7493673323,41926.27962090097,0.5420183381523356,0.5425772937098573,2.417978869211143,22.468437264903894
52,2020-04-22,Chungcheongbuk-do,36.63568,127.491384,25.0220604575425,1583728.7912929826,42245.10230736396,0.5419016402021418,0.5424375548204768,2.380910416266383,22.64115004127612
53,2020-04-23,Chungcheongbuk-do,36.63568,127.491384,25.15766984624762,1583414.7783068332,42558.97993232875,0.5417874146564066,0.5423035761658931,2.346454775238189,22.811215071009432
54,2020-04-24,Chungcheongbuk-do,36.63568,127.491384,25.293245740289095,1583105.3636748597,42868.25922940593,0.5416754573964078,0.5421745357885215,2.3144267567626486,22.978818983526445
55,2020-04-25,Chungcheongbuk-do,36.63568,127.491384,25.428789374236224,1582800.2253180314,43173.26227724105,0.5415655863059634,0.542049766190493,2.2846541937981613,23.144135180438063
56,2020-04-26,Chungcheongbuk-do,36.63568,127.491384,25.564301815783846,1582499.064070747,43474.28824107734,0.5414576378348113,0.5419287212193606,2.2569770500744872,23.30732476570936
57,2020-04-27,Chungcheongbuk-do,36.63568,127.491384,25.699783996088687,1582201.6020593718,43771.61499421674,0.5413514642753461,0.5418109503732234,2.2312465839454356,23.468537412143252
58,2020-04-28,Chungcheongbuk-do,36.63568,127.491384,25.83523673368199,1581907.5811932986,44065.50062695659,0.5412469315844313,0.541696078848754,2.207324565542639,23.627912168139353
59,2020-04-29,Chungcheongbuk-do,36.63568,127.491384,25.97066075339418,1581616.7617612642,44356.184850271995,0.5411439176234347,0.5415837920326734,2.1850825448589246,23.785578208535256
60,2020-04-30,Chungcheongbuk-do,36.63568,127.491384,26.10605670140235,1581328.9211259892,44643.89030117453,0.5410423107207456,0.5414738234303638,2.1644011682343125,23.941655533168035
61,2020-05-01,Chungcheongbuk-do,36.63568,127.491384,26.24142515725994,1581043.852510567,44928.82375632123,0.5409420084843825,0.5413659452529592,2.1451695406465956,24.096255616613345
62,2020-05-02,Chungcheongbuk-do,36.63568,127.491384,26.376766643573177,1580761.363870394,45211.177260083954,0.5408429168098506,0.5412599610608151,2.1272846311993643,24.249482012373814
63,2020-05-03,Chungcheongbuk-do,36.63568,127.491384,26.51208163383838,1580481.2768447895,45491.12917292706,0.5407449490415984,0.541155699998074,2.110650719236042,24.40143091460234
64,2020-05-04,Chungcheongbuk-do,36.63568,127.491384,26.647370558837903,1580203.4257828174,45768.845145585714,0.5406480252563425,0.5410530122589551,2.0951788785758434,24.55219168026206
65,2020-05-05,Chungcheongbuk-do,36.63568,127.491384,26.78263381190264,1579927.6568381584,46044.47902419213,0.5405520716440082,0.5409517655083019,2.0807864974565935,24.70184731444605
